Location,Facility Type,Ped_Total,Ped_Female,Ped_MobAssist,Ped_Stroller,Ped_Weekday,Ped_Weekday_Female,Ped_Weekday_MobAssist,Ped_Weekday_Stroller,Ped_Weekend,Ped_Weekend_Female,Ped_Weekend_MobAssist,Ped_Weekend_Stroller,Bike_Total,Bike_Female,Bike_Sidewalk,Bike_ContraFlow,Bike_Bikeshare,Bike_Helmet,Bike_Weekday,Bike_Weekday_Female,Bike_Weekday_Sidewalk,Bike_Weekday_Contraflow,Bike_Weekday_Bikeshare,Bike_Weekday_Helmet,Bike_Weekend,Bike_Weekend_Female,Bike_Weekend_Sidewalk,Bike_Weekend_ContraFlow,Bike_Weekend_Bikeshare,Bike_Weekend_Helmet,Other_Total,Other_Total 1,Other_Female,Other_Sidewalk,Other_ContraFlow,Other_Helmet,Other_Weekday_Total,Other_Weekday_Female,Other_Weekday_Sidewalk,Other_Weekday_WrongWay,Other_Weekday_Helmet,Other_Weekend_Total,Other_Weekend_Female,Other_Weekend_Sidewalk,Other_Weekend_ContraFlow,Other_Weekend_Helmet,Scooter_Total,Scooter_Female,Scooter_Sidewalk,Scooter_ContraFlow,Scooter_Helmet,Scooter_Weekday_Total,Scooter_Weekday_Female,Scooter_Weekday_Sidewalk,Scooter_Weekday_ContraFlow,Scooter_Weekday_Helmet,Scooter_Weekend_Total,Scooter_Weekend_Female,Scooter_Weekend_Sidewalk,Scooter_Weekend_ContraFlow,Scooter_Weekend_Helmet
Broadway bw 92nd and 93rd,Route,307,101,0,2,103,25,0,1,204,76,0,1,69,7,10,0,0,10,49,5,10,0,0,10,20,2,9,0,0,2,3,3,1,0,0,0,1,1,0,0,0,2,0,0,0,0,6,1,1,0,0,0,0,0,0,0,6,1,1,0,0
Central bw 103rd and 105th,Lane,320,19,2,8,320,19,2,8,,,,,55,3,16,,0,11,55,3,16,,0,11,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,1,0,0,1,0,1,0,0,,,,,
Central bw Jefferson and 34th,None,807,361,8,19,584,253,4,15,223,108,4,4,208,16,129,,0,8,160,16,129,,0,8,48,0,33,0,0,2,9,9,0,7,0,0,8,0,6,0,0,1,0,1,0,0,13,0,10,0,0,13,0,10,,0,0,0,0,0,0
Chandler bw Fair and Blakeslee,Buffered Lane,479,133,1,0,350,80,0,0,129,53,1,0,208,15,17,,,63,139,2,17,,,63,69,13,0,0,0,42,19,19,4,14,1,1,18,4,13,1,1,1,0,1,0,0,44,4,14,0,5,31,2,9,,0,13,2,5,0,5
Colorado bw Caspar and Maywood,Buffered Lane,849,429,2,29,480,217,0,20,369,212,2,9,64,9,7,,0,29,37,6,7,,0,29,27,3,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cypress bw Merced and Pepper,Lane,463,242,0,9,416,219,0,6,47,23,0,3,33,5,11,,0,8,26,3,11,,0,8,7,2,1,0,0,3,9,9,1,3,1,0,5,0,3,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eagle Rock bw York and Lincoln,Lane,455,187,7,8,319,113,6,8,136,74,1,0,125,16,30,,0,51,86,7,30,,0,51,39,9,11,1,0,20,7,7,0,6,0,0,4,0,4,0,0,3,0,2,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0
Exposition bw Arlington and La Brea,Lane,48,15,0,2,43,15,0,2,5,,,,106,15,1,,0,45,89,15,1,,0,45,17,,,,,,1,1,0,1,0,0,1,0,1,0,0,,,,,,2,0,1,0,0,2,0,1,0,0,,,,,
Figueroa bw 7th and 8th,Protected Lane,10597,4372,10,27,9077,3682,9,20,1520,690,1,7,325,24,66,,7,77,264,21,66,,7,77,61,3,18,6,6,13,62,62,5,45,5,5,41,3,29,4,4,21,2,16,1,1,208,35,53,10,10,144,22,29,0,10,64,13,24,10,0
Figueroa bw Avenue 44 and Avenue 45,Route,476,186,5,16,357,136,4,13,119,50,1,3,102,15,24,,0,31,68,12,24,,0,31,34,3,9,0,0,22,6,6,1,6,0,0,5,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
